UserID,Username,FirstName,LastName,Email,Address,City,State,ZipCode,Country,RegistrationDate,Age,Gender,Phone,PurchaseID,ProductName,Category,Price,Quantity,TotalAmount,PurchaseDate,PaymentMethod,Status
1,leo_robinson_704,Leo,Robinson,leo_robinson_704@example.com,819 Main St,Houston,NC,76672,France,2021-04-13,,Other,(832)294-2916,1.0,Laptop,Electronics,43.21,1.0,43.21,2021-06-18,Bank Transfer,Pending
1,leo_robinson_704,Leo,Robinsontypo,leo_robinson_704@example.com,819 Main St,Houston,NC,76672,France,2021-04-13,68.0,Other,(832)294-2916,2.0,Puzzle,Toys,235.47,2.0,470.94,2022-11-02,Bank Transfer,Refunded
1,leo_robinson_704,Leo,Robinson,leo_robinson_704@example.com,819 Main St,Houston,NC,76672,France,2021-04-13,68.0,Other,(832)294-2916,3.0,Pants,Clothing,105.77,1.0,105.77,2021-09-06,Credit Card,Cancelled
1,leo_robinson_704,Leo,Robinson,leo_robinson_704@example.com,819 Main St,Houston,NC,76672,France,2021-04-13,68.0,Other,(832)294-2916,,Biography,Books,290.19,2.0,580.38,2022-10-20,Credit Card,Refunded
1,leo_robinson_704,Leo,Robinson,leo_robinson_704@example.com,819 Main St,Houston,NC,76672,France,,68.0,Other,(832)294-2916,5.0,Camera,Electronics,344.09,2.0,688.18,2021-05-18,Bank Transfer,Completed
1,leo_robinson_704,Leo,Robinson,leo_robinson_704@example.com,819 Main St,Houston,NC,76672,France,2021-04-13,68.0,,(832)294-2916,6.0,Mystery,Books,137.15,1.0,137.15,2022-04-16,Debit Card,Completed
1,leo_robinson_704,Leo,,leo_robinson_704@example.com,819 Main St,Houston,NC,76672,France,2021-04-13,68.0,Other,(832)294-2916,7.0,Puzzle,Toys,183.98,3.0,551.94,2021-05-09,Debit Card,Completed
1,leo_robinson_704,Leo,Robinson,leo_robinson_704@example.com,819 Main St,Houston,NC,76672,France,2021-04-13,68.0,Other,(832)294-2916,8.0,Smartphone,Electronics,95.44,1.0,95.44,2021-08-04,Bank Transfer,Cancelled
1,leo_robinson_704,Leo,Robinson,leo_robinson_704@example.com,819 Main St,,NC,76672,France,2021-04-13,68.0,Other,(832)294-2916,9.0,Novel,Books,353.86,,1415.44,2023-02-10,Credit Card,Refunded
1,leo_robinson_704,Leo,Robinson,,819 Main St,Houston,NC,76672,France,2021-04-13,68.0,Other,(832)294-2916,10.0,Toy Car,Toys,486.55,3.0,1459.65,,PayPal,Pending
2,katie_wilson_949,Katie,Wilson,katie_wilson_949@example.com,9505 Main St,San Diego,IL,75097,UK,2023-12-31,37.0,M,(597)197-5515,11.0,Headphones,Electronics,57.84,2.0,,2025-09-26,Cash on Delivery,Cancelled
2,katie_wilson_949,Katie,Wilson,katie_wilson_949@example.com,9505 Main St,San Diego,IL,75097,UK,2023-12-31,,M,(597)197-5515,12.0,Puzzle,Toys,191.46,3.0,574.38,2024-11-08,Cash on Delivery,Cancelled
2,katie_wilson_949,Katie,Wilson,katie_wilson_949@example.com,9505 Main St,San Diego,IL,75097,,2023-12-31,37.0,M,(597)197-5515,13.0,Chair,Home,395.52,4.0,1582.08,2024-10-28,PayPal,Refunded
2,katie_wilson_949,,Wilson,katie_wilson_949@example.com,9505 Main St,San Diego,IL,75097,UK,2023-12-31,37.0,M,(597)197-5515,14.0,Pants,Clothing,115.94,5.0,579.7,2024-07-01,Cash on Delivery,Completed
2,katie_wilson_949,Katie,Wilson,katie_wilson_949@example.com,9505 Main St,San Diego,IL,75097,UK,2023-12-31,37.0,M,(597)197-5515,15.0,,Home,492.82,5.0,2464.1,2025-02-16,Cash on Delivery,Pending
3,olivia_robinson_806,Olivia,Robinson,olivia_robinson_806@example.com,7019 Main St,Chicago,CA,72162,France,,22.0,Other,(734)349-8285,16.0,Bed,Home,125.16,3.0,375.48,2020-06-08,Credit Card,Cancelled
3,olivia_robinson_806,,Robinson,olivia_robinson_806@example.com,7019 Main St,Chicago,CA,933,France,2020-03-13,22.0,Other,(734)349-8285,17.0,Laptop,Electronics,142.37,5.0,711.85,2020-04-26,Cash on Delivery,Refunded
3,olivia_robinson_806,Olivia,Robinson,olivia_robinson_806@example.com,,Chicago,CA,,France,2020-03-13,22.0,Other,(734)349-8285,18.0,Headphones,Electronics,415.28,4.0,1661.12,,PayPal,Pending
